,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Ticket_labels,Title_labels,Embarked_labels
0,892,3,1,34.5,0,0,7.8292,0,9,1
1,893,3,0,47.0,1,0,7.0,0,10,2
2,894,2,1,62.0,0,0,9.6875,0,9,1
3,895,3,1,27.0,0,0,8.6625,0,9,2
4,896,3,0,22.0,1,1,12.2875,4,10,2
5,897,3,1,14.0,0,0,9.225,0,9,2
6,898,3,0,30.0,0,0,7.6292,0,8,1
7,899,2,1,26.0,1,1,29.0,0,9,2
8,900,3,0,18.0,0,0,7.2292,0,10,0
9,901,3,1,21.0,2,0,24.15,0,9,2
10,902,3,1,27.05,0,0,7.8958,0,9,2
11,903,1,1,46.0,0,0,26.0,0,9,2
12,904,1,0,23.0,1,0,82.2667,0,10,2
13,905,2,1,63.0,1,0,26.0,0,9,2
14,906,1,0,47.0,1,0,61.175,0,10,2
15,907,2,0,24.0,1,0,27.7208,0,2,0
16,908,2,1,35.0,0,0,12.35,0,9,1
17,909,3,1,21.0,0,0,7.225,0,9,0
18,910,3,0,27.0,1,0,7.925,4,8,2
19,911,3,0,45.0,0,0,7.225,0,5,0
20,912,1,1,55.0,1,0,59.4,0,9,0
21,913,3,1,9.0,0,1,3.1708,0,6,2
22,914,1,0,45.60606060606061,0,0,31.6833,0,10,2
23,915,1,1,21.0,0,1,61.3792,0,9,0
24,916,1,0,48.0,1,3,262.375,0,10,0
25,917,3,1,50.0,1,0,14.5,0,9,2
26,918,1,0,22.0,0,1,61.9792,0,8,0
27,919,3,1,22.5,0,0,7.225,0,9,0
28,920,1,1,41.0,0,0,30.5,0,9,2
29,921,3,1,27.05,2,0,21.6792,0,9,0
30,922,2,1,50.0,1,0,26.0,0,9,2
31,923,2,1,24.0,2,0,31.5,0,9,2
32,924,3,0,33.0,1,2,20.575,0,10,2
33,925,3,0,28.866666666666667,1,2,23.45,0,10,2
34,926,1,1,30.0,1,0,57.75,0,9,0
35,927,3,1,18.5,0,0,7.2292,0,9,0
36,928,3,0,19.872647058823528,0,0,8.05,0,8,2
37,929,3,0,21.0,0,0,8.6625,0,8,2
38,930,3,1,25.0,0,0,9.5,0,9,2
39,931,3,1,27.05,0,0,56.4958,0,9,2
40,932,3,1,39.0,0,1,13.4167,0,9,0
41,933,1,1,41.48863636363637,0,0,26.55,0,9,2
42,934,3,1,41.0,0,0,7.85,4,9,2
43,935,2,0,30.0,0,0,13.0,0,10,2
44,936,1,0,45.0,1,0,52.5542,0,10,2
45,937,3,1,25.0,0,0,7.925,4,9,2
46,938,1,1,45.0,0,0,29.7,0,9,0
47,939,3,1,27.05,0,0,7.75,0,9,1
48,940,1,0,60.0,0,0,76.2917,0,10,0
49,941,3,0,36.0,0,2,15.9,0,10,2
50,942,1,1,24.0,1,0,60.0,0,9,2
51,943,2,1,27.0,0,0,15.0333,0,9,0
52,944,2,0,20.0,2,1,23.0,0,8,2
53,945,1,0,28.0,3,2,263.0,0,8,2
54,946,2,1,31.764150943396228,0,0,15.5792,0,9,0
55,947,3,1,10.0,4,1,29.125,0,6,1
56,948,3,1,35.0,0,0,7.8958,0,9,2
57,949,3,1,25.0,0,0,7.65,0,9,2
58,950,3,1,27.05,1,0,16.1,0,9,2
59,951,1,0,36.0,0,0,262.375,0,8,0
60,952,3,1,17.0,0,0,7.8958,0,9,2
61,953,2,1,32.0,0,0,13.5,0,9,2
62,954,3,1,18.0,0,0,7.75,0,9,2
63,955,3,0,22.0,0,0,7.725,0,8,1
64,956,1,1,13.0,2,2,262.375,0,6,0
65,957,2,0,33.75,0,0,21.0,0,10,2
66,958,3,0,18.0,0,0,7.8792,0,8,1
67,959,1,1,47.0,0,0,42.4,0,9,2
68,960,1,1,31.0,0,0,28.5375,0,9,0
69,961,1,0,60.0,1,4,263.0,0,10,2
70,962,3,0,24.0,0,0,7.75,0,8,1
71,963,3,1,21.0,0,0,7.8958,0,9,2
72,964,3,0,29.0,0,0,7.925,4,8,2
73,965,1,1,28.5,0,0,27.7208,0,15,0
74,966,1,0,35.0,0,0,211.5,0,8,0
75,967,1,1,32.5,0,0,211.5,0,9,0
76,968,3,1,27.05,0,0,8.05,0,9,2
77,969,1,0,55.0,2,0,25.7,0,10,2
78,970,2,1,30.0,0,0,13.0,0,9,2
79,971,3,0,24.0,0,0,7.75,0,8,1
80,972,3,1,6.0,1,1,15.2458,0,6,0
81,973,1,1,67.0,1,0,221.7792,0,9,2
82,974,1,1,49.0,0,0,26.0,0,9,2
83,975,3,1,27.05,0,0,7.8958,0,9,2
84,976,2,1,31.764150943396228,0,0,10.7083,0,9,1
85,977,3,1,27.05,1,0,14.4542,0,9,0
86,978,3,0,27.0,0,0,7.8792,0,8,1
87,979,3,0,18.0,0,0,8.05,0,8,2
89,981,2,1,2.0,1,1,23.0,0,6,2
90,982,3,0,22.0,1,0,13.9,0,10,2
91,983,3,1,27.05,0,0,7.775,0,9,2
92,984,1,0,27.0,1,2,52.0,0,10,2
93,985,3,1,27.05,0,0,8.05,0,9,2
94,986,1,1,25.0,0,0,26.0,0,9,0
95,987,3,1,25.0,0,0,7.7958,0,9,2
96,988,1,0,76.0,1,0,78.85,0,10,2
97,989,3,1,29.0,0,0,7.925,4,9,2
98,990,3,0,20.0,0,0,7.8542,0,8,2
99,991,3,1,33.0,0,0,8.05,0,9,2
100,992,1,0,43.0,1,0,55.4417,0,10,0
101,993,2,1,27.0,1,0,26.0,0,9,2
102,994,3,1,27.05,0,0,7.75,0,9,1
103,995,3,1,26.0,0,0,7.775,0,12,2
104,996,3,0,16.0,1,1,8.5167,0,10,0
105,997,3,1,28.0,0,0,22.525,0,9,2
106,998,3,1,21.0,0,0,7.8208,0,9,1
107,999,3,1,27.05,0,0,7.75,0,9,1
108,1000,3,1,27.05,0,0,8.7125,0,9,2
109,1001,2,1,18.5,0,0,13.0,0,9,2
110,1002,2,1,41.0,0,0,15.0458,0,9,0
111,1003,3,0,19.872647058823528,0,0,7.7792,0,8,1
112,1004,1,0,36.0,0,0,31.6792,0,8,0
113,1005,3,0,18.5,0,0,7.2833,0,8,1
114,1006,1,0,63.0,1,0,221.7792,0,10,2
115,1007,3,1,18.0,1,0,14.4542,0,9,0
116,1008,3,1,27.05,0,0,6.4375,0,9,0
117,1009,3,0,1.0,1,1,16.7,0,8,2
118,1010,1,1,36.0,0,0,75.2417,0,9,0
119,1011,2,0,29.0,1,0,26.0,0,10,2
120,1012,2,0,12.0,0,0,15.75,0,8,2
121,1013,3,1,27.05,1,0,7.75,0,9,1
122,1014,1,0,35.0,1,0,57.75,0,10,0
123,1015,3,1,28.0,0,0,7.25,0,9,2
124,1016,3,1,27.05,0,0,7.75,0,9,1
125,1017,3,0,17.0,0,1,16.1,0,8,2
126,1018,3,1,22.0,0,0,7.7958,0,9,2
127,1019,3,0,19.872647058823528,2,0,23.25,0,8,1
128,1020,2,1,42.0,0,0,13.0,0,9,2
129,1021,3,1,24.0,0,0,8.05,0,9,2
130,1022,3,1,32.0,0,0,8.05,0,9,2
131,1023,1,1,53.0,0,0,28.5,0,3,0
132,1024,3,0,28.866666666666667,0,4,25.4667,0,10,2
133,1025,3,1,27.05,1,0,6.4375,0,9,0
134,1026,3,1,43.0,0,0,7.8958,0,9,2
135,1027,3,1,24.0,0,0,7.8542,0,9,2
136,1028,3,1,26.5,0,0,7.225,0,9,0
137,1029,2,1,26.0,0,0,13.0,0,9,2
138,1030,3,0,23.0,0,0,8.05,0,8,2
139,1031,3,1,40.0,1,6,46.9,0,9,2
140,1032,3,0,10.0,5,2,46.9,0,8,2
141,1033,1,0,33.0,0,0,151.55,0,8,2
142,1034,1,1,61.0,1,3,262.375,0,9,0
143,1035,2,1,28.0,0,0,26.0,0,9,2
144,1036,1,1,42.0,0,0,26.55,0,9,2
145,1037,3,1,31.0,3,0,18.0,0,13,2
146,1038,1,1,41.48863636363637,0,0,51.8625,0,9,2
147,1039,3,1,22.0,0,0,8.05,0,9,2
148,1040,1,1,41.48863636363637,0,0,26.55,0,9,2
149,1041,2,1,30.0,1,1,26.0,0,14,2
150,1042,1,0,23.0,0,1,83.1583,0,10,0
151,1043,3,1,27.05,0,0,7.8958,0,9,0
153,1045,3,0,36.0,0,2,12.1833,0,10,2
154,1046,3,1,13.0,4,2,31.3875,0,6,2
155,1047,3,1,24.0,0,0,7.55,0,9,2
156,1048,1,0,29.0,0,0,221.7792,0,8,2
157,1049,3,0,23.0,0,0,7.8542,0,8,2
158,1050,1,1,42.0,0,0,26.55,0,9,2
160,1052,3,0,19.872647058823528,0,0,7.7333,0,8,1
161,1053,3,1,7.0,1,1,15.2458,0,6,0
162,1054,2,0,26.0,0,0,13.5,0,8,2
163,1055,3,1,27.05,0,0,7.0,0,9,2
164,1056,2,1,41.0,0,0,13.0,0,14,2
165,1057,3,0,26.0,1,1,22.025,0,10,2
166,1058,1,1,48.0,0,0,50.4958,0,9,0
167,1059,3,1,18.0,2,2,34.375,0,9,2
168,1060,1,0,45.60606060606061,0,0,27.7208,0,10,0
169,1061,3,0,22.0,0,0,8.9625,0,8,2
170,1062,3,1,27.05,0,0,7.55,0,9,2
171,1063,3,1,27.0,0,0,7.225,0,9,0
172,1064,3,1,23.0,1,0,13.9,0,9,2
173,1065,3,1,27.05,0,0,7.2292,0,9,0
174,1066,3,1,40.0,1,5,31.3875,0,9,2
175,1067,2,0,15.0,0,2,39.0,0,8,2
176,1068,2,0,20.0,0,0,36.75,0,8,2
177,1069,1,1,54.0,1,0,55.4417,0,9,0
178,1070,2,0,36.0,0,3,39.0,0,10,2
179,1071,1,0,64.0,0,2,83.1583,0,10,0
180,1072,2,1,30.0,0,0,13.0,0,9,2
181,1073,1,1,37.0,1,1,83.1583,0,9,0
182,1074,1,0,18.0,1,0,53.1,0,10,2
183,1075,3,1,27.05,0,0,7.75,0,9,1
184,1076,1,0,27.0,1,1,247.5208,0,10,0
185,1077,2,1,40.0,0,0,16.0,0,9,2
187,1079,3,1,17.0,2,0,8.05,0,9,2
188,1080,3,0,19.872647058823528,8,2,69.55,0,8,2
189,1081,2,1,40.0,0,0,13.0,0,9,2
190,1082,2,1,34.0,1,0,26.0,0,9,2
191,1083,1,1,41.48863636363637,0,0,26.0,0,9,2
192,1084,3,1,11.5,1,1,14.5,0,0,2
193,1085,2,1,61.0,0,0,12.35,0,9,1
194,1086,2,1,8.0,0,2,32.5,0,6,2
195,1087,3,1,33.0,0,0,7.8542,0,9,2
196,1088,1,1,6.0,0,2,134.5,0,6,0
197,1089,3,0,18.0,0,0,7.775,0,8,2
198,1090,2,1,23.0,0,0,10.5,0,9,2
199,1091,3,0,28.866666666666667,0,0,8.1125,0,10,2
200,1092,3,0,19.872647058823528,0,0,15.5,0,8,1
201,1093,3,1,0.33,0,2,14.4,0,6,2
202,1094,1,1,47.0,1,0,227.525,0,3,0
203,1095,2,0,8.0,1,1,26.0,0,8,2
204,1096,2,1,25.0,0,0,10.5,0,9,2
205,1097,1,1,41.48863636363637,0,0,25.7417,0,9,0
206,1098,3,0,35.0,0,0,7.75,0,8,1
207,1099,2,1,24.0,0,0,10.5,0,9,2
208,1100,1,0,33.0,0,0,27.7208,0,8,0
209,1101,3,1,25.0,0,0,7.8958,0,9,2
210,1102,3,1,32.0,0,0,22.525,0,9,2
211,1103,3,1,27.05,0,0,7.05,4,9,2
212,1104,2,1,17.0,0,0,73.5,0,9,2
213,1105,2,0,60.0,1,0,26.0,0,10,2
214,1106,3,0,38.0,4,2,7.775,0,8,2
215,1107,1,1,42.0,0,0,42.5,0,9,2
216,1108,3,0,19.872647058823528,0,0,7.8792,0,8,1
217,1109,1,1,57.0,1,1,164.8667,0,9,2
218,1110,1,0,50.0,1,1,211.5,0,10,0
219,1111,3,1,27.05,0,0,8.05,0,9,2
220,1112,2,0,30.0,1,0,13.8583,0,15,0
221,1113,3,1,21.0,0,0,8.05,0,9,2
222,1114,2,0,22.0,0,0,10.5,0,10,2
223,1115,3,1,21.0,0,0,7.7958,0,9,2
224,1116,1,0,53.0,0,0,27.4458,0,10,0
225,1117,3,0,28.866666666666667,0,2,15.2458,0,10,0
226,1118,3,1,23.0,0,0,7.7958,0,9,2
227,1119,3,0,19.872647058823528,0,0,7.75,0,8,1
228,1120,3,1,40.5,0,0,15.1,0,9,2
229,1121,2,1,36.0,0,0,13.0,0,9,2
230,1122,2,1,14.0,0,0,65.0,0,9,2
231,1123,1,0,21.0,0,0,26.55,0,8,2
232,1124,3,1,21.0,1,0,6.4958,4,9,2
233,1125,3,1,27.05,0,0,7.8792,0,9,1
234,1126,1,1,39.0,1,0,71.2833,0,9,0
235,1127,3,1,20.0,0,0,7.8542,0,9,2
236,1128,1,1,64.0,1,0,75.25,0,9,0
237,1129,3,1,20.0,0,0,7.225,0,9,0
238,1130,2,0,18.0,1,1,13.0,0,8,2
239,1131,1,0,48.0,1,0,106.425,0,10,0
240,1132,1,0,55.0,0,0,27.7208,0,10,0
241,1133,2,0,45.0,0,2,30.0,0,10,2
242,1134,1,1,45.0,1,1,134.5,0,9,0
243,1135,3,1,27.05,0,0,7.8875,0,9,2
244,1136,3,1,7.1175,1,2,23.45,0,6,2
245,1137,1,1,41.0,1,0,51.8625,0,9,2
246,1138,2,0,22.0,0,0,21.0,0,10,2
247,1139,2,1,42.0,1,1,32.5,0,9,2
248,1140,2,0,29.0,1,0,26.0,0,10,2
249,1141,3,0,28.866666666666667,1,0,14.4542,0,10,0
250,1142,2,0,0.92,1,2,27.75,0,8,2
251,1143,3,1,20.0,0,0,7.925,4,9,2
252,1144,1,1,27.0,1,0,136.7792,0,9,0
253,1145,3,1,24.0,0,0,9.325,0,9,2
254,1146,3,1,32.5,0,0,9.5,0,9,2
255,1147,3,1,27.05,0,0,7.55,0,9,2
256,1148,3,1,27.05,0,0,7.75,0,9,1
257,1149,3,1,28.0,0,0,8.05,0,9,2
258,1150,2,0,19.0,0,0,13.0,0,8,2
259,1151,3,1,21.0,0,0,7.775,0,9,2
260,1152,3,1,36.5,1,0,17.4,0,7,2
261,1153,3,1,21.0,0,0,7.8542,0,9,2
262,1154,2,0,29.0,0,2,23.0,0,10,2
263,1155,3,0,1.0,1,1,12.1833,0,8,2
264,1156,2,1,30.0,0,0,12.7375,0,9,0
265,1157,3,1,27.05,0,0,7.8958,0,9,2
266,1158,1,1,41.48863636363637,0,0,0.0,0,9,2
267,1159,3,1,27.05,0,0,7.55,0,9,2
268,1160,3,0,19.872647058823528,0,0,8.05,0,8,2
269,1161,3,1,17.0,0,0,8.6625,0,9,2
270,1162,1,1,46.0,0,0,75.2417,0,9,0
271,1163,3,1,27.05,0,0,7.75,0,9,1
272,1164,1,0,26.0,1,0,136.7792,0,10,0
273,1165,3,0,19.872647058823528,1,0,15.5,0,8,1
274,1166,3,1,27.05,0,0,7.225,0,9,0
275,1167,2,0,20.0,1,0,26.0,0,8,2
276,1168,2,1,28.0,0,0,10.5,0,9,2
277,1169,2,1,40.0,1,0,26.0,0,9,2
278,1170,2,1,30.0,1,0,21.0,0,9,2
279,1171,2,1,22.0,0,0,10.5,0,9,2
280,1172,3,0,23.0,0,0,8.6625,0,8,2
282,1174,3,0,19.872647058823528,0,0,7.75,0,8,1
283,1175,3,0,9.0,1,1,15.2458,0,8,0
284,1176,3,0,2.0,1,1,20.2125,0,8,2
285,1177,3,1,36.0,0,0,7.25,0,9,2
287,1179,1,1,24.0,1,0,82.2667,0,9,2
288,1180,3,1,27.05,0,0,7.2292,0,9,0
289,1181,3,1,27.05,0,0,8.05,0,9,2
290,1182,1,1,41.48863636363637,0,0,39.6,0,9,2
291,1183,3,0,30.0,0,0,6.95,0,8,1
292,1184,3,1,27.05,0,0,7.2292,0,9,0
293,1185,1,1,53.0,1,1,81.8583,0,4,2
294,1186,3,1,36.0,0,0,9.5,0,9,2
295,1187,3,1,26.0,0,0,7.8958,0,9,2
296,1188,2,0,1.0,1,2,41.5792,0,8,0
297,1189,3,1,27.05,2,0,21.6792,0,9,0
298,1190,1,1,30.0,0,0,45.5,0,9,2
299,1191,3,1,29.0,0,0,7.8542,0,9,2
300,1192,3,1,32.0,0,0,7.775,0,9,2
301,1193,2,1,31.764150943396228,0,0,15.0458,0,9,0
303,1195,3,1,24.0,0,0,8.6625,0,9,2
304,1196,3,0,19.872647058823528,0,0,7.75,0,8,1
305,1197,1,0,64.0,1,1,26.55,0,10,2
306,1198,1,1,30.0,1,2,151.55,0,9,2
307,1199,3,1,0.83,0,1,9.35,0,6,2
308,1200,1,1,55.0,1,1,93.5,0,9,2
309,1201,3,0,45.0,1,0,14.1083,0,10,2
310,1202,3,1,18.0,0,0,8.6625,0,9,2
311,1203,3,1,22.0,0,0,7.225,0,9,0
312,1204,3,1,27.05,0,0,7.575,0,9,2
313,1205,3,0,37.0,0,0,7.75,0,8,1
314,1206,1,0,55.0,0,0,135.6333,0,10,0
315,1207,3,0,17.0,0,0,7.7333,0,8,1
316,1208,1,1,57.0,1,0,146.5208,0,9,0
317,1209,2,1,19.0,0,0,10.5,0,9,2
318,1210,3,1,27.0,0,0,7.8542,0,9,2
319,1211,2,1,22.0,2,0,31.5,0,9,2
320,1212,3,1,26.0,0,0,7.775,0,9,2
321,1213,3,1,25.0,0,0,7.2292,0,9,0
322,1214,2,1,26.0,0,0,13.0,0,9,2
323,1215,1,1,33.0,0,0,26.55,0,9,2
324,1216,1,0,39.0,0,0,211.3375,0,8,2
325,1217,3,1,23.0,0,0,7.05,4,9,2
326,1218,2,0,12.0,2,1,39.0,0,8,2
327,1219,1,1,46.0,0,0,79.2,0,9,0
328,1220,2,1,29.0,1,0,26.0,0,9,2
329,1221,2,1,21.0,0,0,13.0,0,9,2
330,1222,2,0,48.0,0,2,36.75,0,10,2
331,1223,1,1,39.0,0,0,29.7,0,9,0
332,1224,3,1,27.05,0,0,7.225,0,9,0
333,1225,3,0,19.0,1,1,15.7417,0,10,0
334,1226,3,1,27.0,0,0,7.8958,0,9,2
335,1227,1,1,30.0,0,0,26.0,0,9,2
336,1228,2,1,32.0,0,0,13.0,0,1,2
337,1229,3,1,39.0,0,2,7.2292,0,9,0
338,1230,2,1,25.0,0,0,31.5,0,9,2
339,1231,3,1,7.1175,0,0,7.2292,0,6,0
340,1232,2,1,18.0,0,0,10.5,0,9,2
341,1233,3,1,32.0,0,0,7.5792,0,9,2
342,1234,3,1,27.05,1,9,69.55,0,9,2
343,1235,1,0,58.0,0,1,512.3292,0,10,0
344,1236,3,1,11.5,1,1,14.5,0,0,2
345,1237,3,0,16.0,0,0,7.65,0,8,2
346,1238,2,1,26.0,0,0,13.0,0,9,2
347,1239,3,0,38.0,0,0,7.2292,0,10,0
348,1240,2,1,24.0,0,0,13.5,0,9,2
349,1241,2,0,31.0,0,0,21.0,0,8,2
350,1242,1,0,45.0,0,1,63.3583,0,10,0
351,1243,2,1,25.0,0,0,10.5,0,9,2
352,1244,2,1,18.0,0,0,73.5,0,9,2
353,1245,2,1,49.0,1,2,65.0,0,9,2
354,1246,3,0,0.17,1,2,20.575,0,8,2
355,1247,1,1,50.0,0,0,26.0,0,9,2
356,1248,1,0,59.0,2,0,51.4792,0,10,2
357,1249,3,1,27.05,0,0,7.8792,0,9,2
358,1250,3,1,27.05,0,0,7.75,0,9,1
359,1251,3,0,30.0,1,0,15.55,0,10,2
360,1252,3,1,14.5,8,2,69.55,0,6,2
361,1253,2,0,24.0,1,1,37.0042,0,10,0
362,1254,2,0,31.0,0,0,21.0,0,10,2
363,1255,3,1,27.0,0,0,8.6625,0,9,2
364,1256,1,0,25.0,1,0,55.4417,0,10,0
365,1257,3,0,28.866666666666667,1,9,69.55,0,10,2
366,1258,3,1,27.05,1,0,14.4583,0,9,0
367,1259,3,0,22.0,0,0,39.6875,4,8,2
368,1260,1,0,45.0,0,1,59.4,0,10,0
369,1261,2,1,29.0,0,0,13.8583,0,15,0
370,1262,2,1,21.0,1,0,11.5,0,9,2
371,1263,1,0,31.0,0,0,134.5,0,8,0
372,1264,1,1,49.0,0,0,0.0,0,9,2
373,1265,2,1,44.0,0,0,13.0,0,9,2
374,1266,1,0,54.0,1,1,81.8583,0,10,2
375,1267,1,0,45.0,0,0,262.375,0,8,0
376,1268,3,0,22.0,2,0,8.6625,0,8,2
377,1269,2,1,21.0,0,0,11.5,0,9,2
378,1270,1,1,55.0,0,0,50.0,0,9,2
379,1271,3,1,5.0,4,2,31.3875,0,6,2
380,1272,3,1,27.05,0,0,7.75,0,9,1
381,1273,3,1,26.0,0,0,7.8792,0,9,1
382,1274,3,0,28.866666666666667,0,0,14.5,0,10,2
383,1275,3,0,19.0,1,0,16.1,0,10,2
384,1276,2,1,31.764150943396228,0,0,12.875,0,9,2
385,1277,2,0,24.0,1,2,65.0,0,8,2
386,1278,3,1,24.0,0,0,7.775,0,9,2
387,1279,2,1,57.0,0,0,13.0,0,9,2
388,1280,3,1,21.0,0,0,7.75,0,9,1
389,1281,3,1,6.0,3,1,21.075,0,6,2
390,1282,1,1,23.0,0,0,93.5,0,9,2
391,1283,1,0,51.0,0,1,39.4,0,10,2
392,1284,3,1,13.0,0,2,20.25,0,6,2
393,1285,2,1,47.0,0,0,10.5,0,9,2
394,1286,3,1,29.0,3,1,22.025,0,9,2
395,1287,1,0,18.0,1,0,60.0,0,10,2
396,1288,3,1,24.0,0,0,7.25,0,9,1
397,1289,1,0,48.0,1,1,79.2,0,10,0
398,1290,3,1,22.0,0,0,7.775,0,9,2
399,1291,3,1,31.0,0,0,7.7333,0,9,1
400,1292,1,0,30.0,0,0,164.8667,0,8,2
401,1293,2,1,38.0,1,0,21.0,0,9,2
402,1294,1,0,22.0,0,1,59.4,0,8,0
403,1295,1,1,17.0,0,0,47.1,0,9,2
404,1296,1,1,43.0,1,0,27.7208,0,9,0
405,1297,2,1,20.0,0,0,13.8625,0,9,0
406,1298,2,1,23.0,1,0,10.5,0,9,2
407,1299,1,1,50.0,1,1,211.5,0,9,0
408,1300,3,0,19.872647058823528,0,0,7.7208,0,8,1
410,1302,3,0,19.872647058823528,0,0,7.75,0,8,1
411,1303,1,0,37.0,1,0,90.0,0,10,1
412,1304,3,0,28.0,0,0,7.775,0,8,2
413,1305,3,1,27.05,0,0,8.05,0,9,2
414,1306,1,0,39.0,0,0,108.9,0,15,0
415,1307,3,1,38.5,0,0,7.25,4,9,2
416,1308,3,1,27.05,0,0,8.05,0,9,2
417,1309,3,1,7.1175,1,1,22.3583,0,6,0
